epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.08,1.1913,2.93768,1.67669,0.83175,0.77778,0.81846,0.37725,1.17118,6.96437,1.85817,8e-05,8e-05,8e-05
2,45.4553,0.8909,1.94536,1.34458,0.65983,0.88889,0.7695,0.41883,1.24709,7.00063,1.76475,0.000176436,0.000176436,0.000176436
3,65.981,1.02999,1.57976,1.36755,0.6166,0.77778,0.77676,0.3876,1.54806,5.21167,2.2122,0.000268912,0.000268912,0.000268912
4,84.264,0.88737,1.44899,1.34362,0.87298,0.7652,0.75104,0.48373,1.11477,4.17896,1.5828,0.000357428,0.000357428,0.000357428
5,102.109,0.64958,1.08945,1.1352,0.87244,0.76187,0.86482,0.46018,1.35694,4.71562,1.89086,0.000441984,0.000441984,0.000441984
6,119.681,0.91999,1.4964,1.45475,1,0.64881,0.77086,0.43969,1.29683,4.82761,1.91195,0.00052258,0.00052258,0.00052258
7,137.581,0.77394,1.3471,1.22301,0.83753,0.55556,0.74327,0.43087,1.11164,3.45171,1.68848,0.000599216,0.000599216,0.000599216
8,155.376,0.83457,1.06233,1.2439,0.69227,0.752,0.75771,0.39174,1.46044,3.75708,1.98718,0.000671892,0.000671892,0.000671892
9,173.076,0.77033,0.93521,1.12614,0.63298,0.77778,0.61046,0.38616,1.55756,2.32735,2.03776,0.000740608,0.000740608,0.000740608
10,190.709,0.83055,1.03581,1.25282,0.8854,1,0.984,0.69362,1.08339,1.92733,1.68133,0.000805364,0.000805364,0.000805364
11,208.701,0.85415,0.957,1.27316,0.89277,1,0.973,0.6008,1.21045,2.10795,1.79948,0.00086616,0.00086616,0.00086616
12,226.56,0.91511,1.04902,1.28683,0.98256,0.66667,0.81436,0.53288,1.35293,1.9327,1.86138,0.000922996,0.000922996,0.000922996
13,244.984,0.85659,1.0292,1.29223,0.75927,0.70376,0.73157,0.45727,1.18483,2.51948,1.77031,0.000975872,0.000975872,0.000975872
14,264.65,0.98652,1.05474,1.51231,0.75927,0.70376,0.73157,0.45727,1.18483,2.51948,1.77031,0.00102479,0.00102479,0.00102479
15,284.61,0.74638,0.84257,1.19563,1,0.41982,0.59167,0.31567,1.36276,3.22883,2.24112,0.00106974,0.00106974,0.00106974
16,304.596,0.85288,0.96663,1.27222,0.49635,0.55556,0.50861,0.28228,1.48045,2.77914,2.38105,0.00111074,0.00111074,0.00111074
17,324.404,0.73729,0.83664,1.28527,0.64346,0.55556,0.6518,0.3301,1.64482,3.64171,2.79626,0.00114778,0.00114778,0.00114778
18,344.038,0.75382,0.71337,1.21018,0.64346,0.55556,0.6518,0.3301,1.64482,3.64171,2.79626,0.00118085,0.00118085,0.00118085
19,363.994,0.83418,0.90348,1.23807,0.76181,0.88889,0.78924,0.3663,1.6433,3.05612,2.57372,0.00120997,0.00120997,0.00120997
20,383.749,0.77375,0.77539,1.19421,0.72923,0.77778,0.80646,0.46416,1.4169,2.29294,2.35317,0.00123512,0.00123512,0.00123512
